1,45,630,3150,4725,945,240,5040,25200,25200,8400,50400,25200,22400,1260,18900,56700,18900,50400,151200,50400,56700,56700,6048,60480,90720,120960,120960,181440,72576,25200,151200,75600,201600,151200,86400,259200,172800,226800,226800,403200,362880
(),(12),(12)(34),(12)(34)(56),(12)(34)(56)(78),(12)(34)(56)(78)(910),(123),(123)(45),(123)(45)(67),(123)(45)(67)(89),(123)(456),(123)(456)(78),(123)(456)(78)(910),(123)(456)(789),(1234),(1234)(56),(1234)(56)(78),(1234)(56)(78)(910),(1234)(567),(1234)(567)(89),(1234)(567)(8910),(1234)(5678),(1234)(5678)(910),(12345),(12345)(67),(12345)(67)(89),(12345)(678),(12345)(678)(910),(12345)(6789),(12345)(678910),(123456),(123456)(78),(123456)(78)(910),(123456)(789),(123456)(78910),(1234567),(1234567)(89),(1234567)(8910),(12345678),(12345678)(910),(123456789),(12345678910)
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1
9,-7,5,-3,1,1,6,-4,2,0,3,-1,-1,0,-5,3,-1,-1,-2,0,1,1,1,4,-2,0,1,1,0,-1,-3,1,1,0,-1,2,0,-1,-1,-1,0,1
35,-21,11,-5,3,-5,14,-6,2,-2,2,0,2,-1,-9,3,-1,3,0,0,0,-1,-1,5,-1,1,-1,-1,1,0,-2,0,-2,1,0,0,0,0,1,1,-1,0
75,-35,15,-7,3,5,15,-5,3,-1,0,-2,0,3,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,2,0,2,-1,0,-2,0,1,1,-1,0,0
90,-34,14,-6,2,-10,6,-4,2,0,3,-1,-1,0,4,0,0,4,-2,0,1,2,-2,-5,1,-1,1,1,-1,0,3,-1,-1,0,1,-1,1,-1,0,0,0,0
42,-14,6,-2,2,10,0,-2,0,-2,3,1,3,-3,4,0,0,-4,-2,0,1,2,2,-3,1,1,0,-2,-1,2,1,-1,1,1,-1,0,0,0,0,0,0,0
36,-20,8,0,-4,4,15,-5,-1,3,3,1,-1,0,-10,2,2,-2,-1,-1,-1,0,0,6,0,-2,0,0,0,1,-3,-1,1,0,1,1,1,1,0,0,0,-1
160,-64,16,0,0,0,34,-4,-2,0,-2,2,-2,-2,-16,0,0,0,2,0,2,0,0,5,1,1,-1,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0
315,-91,19,-3,-5,5,21,-1,1,3,-3,-1,1,0,1,-1,1,-1,1,-1,1,-1,1,-5,-1,-1,1,-1,1,0,3,1,-1,0,-1,0,0,0,-1,1,0,0
288,-64,16,0,0,0,-6,-4,-2,0,6,2,-2,0,16,0,0,0,-2,0,-2,0,0,-7,1,1,-1,1,1,-2,0,0,0,0,0,1,-1,1,0,0,0,0
225,-55,5,-3,9,-15,15,5,-1,-3,-6,2,2,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0
450,-70,10,-6,2,10,-15,5,1,-3,-3,-1,1,0,10,-2,2,-2,1,1,1,-2,-2,0,0,0,0,0,0,0,-3,-1,1,0,1,2,0,-1,0,0,0,0
252,-28,8,0,4,-20,-21,-1,-1,3,3,-1,-1,0,10,-2,-2,2,1,1,1,0,0,2,2,-2,-1,-1,0,2,-3,1,1,0,-1,0,0,0,0,0,0,0
210,-14,6,-2,-6,10,-21,1,3,1,0,-2,0,3,4,-4,0,0,1,-1,-2,2,2,5,1,1,-1,1,-1,0,-2,0,-2,1,0,0,0,0,0,0,0,0
84,-28,0,8,-4,-4,21,-1,-3,-1,3,-1,3,3,-10,-2,2,2,-1,1,-1,0,0,4,2,0,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1
350,-70,-10,10,-2,10,35,5,-1,1,-1,-1,-1,-1,-10,-2,-2,-2,-1,1,-1,2,-2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,0
567,-63,-9,9,-9,-15,0,0,0,0,0,0,0,0,9,3,1,3,0,0,0,-1,1,-3,-3,1,0,0,-1,2,0,0,0,0,0,0,0,0,1,-1,0,0
300,-20,0,8,4,20,-15,-5,-3,-1,3,1,3,3,10,2,-2,-2,1,-1,1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
525,-35,-15,-7,5,5,0,10,0,2,-3,1,-3,3,-5,3,-1,-1,-2,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,1,0,0
768,0,0,0,0,0,-48,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,-2,0,0,0,0,0,-2,0,1,0,0,0,0
210,14,6,2,-6,-10,-21,-1,3,-1,0,2,0,3,-4,-4,0,0,-1,-1,2,2,-2,5,-1,1,-1,-1,1,0,2,0,2,-1,0,0,0,0,0,0,0,0
300,20,0,-8,4,-20,-15,5,-3,1,3,-1,3,3,-10,2,2,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0
252,28,8,0,4,20,-21,1,-1,-3,3,1,-1,0,-10,-2,2,2,-1,1,-1,0,0,2,-2,-2,-1,1,0,2,3,1,-1,0,-1,0,0,0,0,0,0,0
126,-14,-14,6,6,-6,21,1,1,-3,6,-2,-2,0,-4,-4,0,0,-1,-1,2,-2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
448,0,-32,0,0,0,28,0,4,0,4,0,4,-2,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0
525,35,-15,7,5,-5,0,-10,0,-2,-3,-1,-3,3,5,3,1,-1,2,0,-1,1,-1,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
567,63,-9,-9,-9,15,0,0,0,0,0,0,0,0,-9,3,-1,3,0,0,0,-1,-1,-3,3,1,0,0,1,2,0,0,0,0,0,0,0,0,-1,-1,0,0
450,70,10,6,2,-10,-15,-5,1,3,-3,1,1,0,-10,-2,-2,-2,-1,1,-1,-2,2,0,0,0,0,0,0,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
