1,36,378,1260,945,168,2520,7560,2520,3360,10080,2240,756,7560,11340,15120,15120,11340,3024,18144,9072,24192,18144,10080,30240,20160,25920,25920,45360,40320
(),(12),(12)(34),(12)(34)(56),(12)(34)(56)(78),(123),(123)(45),(123)(45)(67),(123)(45)(67)(89),(123)(456),(123)(456)(78),(123)(456)(789),(1234),(1234)(56),(1234)(56)(78),(1234)(567),(1234)(567)(89),(1234)(5678),(12345),(12345)(67),(12345)(67)(89),(12345)(678),(12345)(6789),(123456),(123456)(78),(123456)(789),(1234567),(1234567)(89),(12345678),(123456789)
1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1
8,-6,4,-2,0,5,-3,1,1,2,0,-1,-4,2,0,-1,-1,0,3,-1,-1,0,1,-2,0,1,1,1,0,-1
27,-15,7,-3,3,9,-3,1,-3,0,0,0,-5,1,-1,1,1,-1,2,0,2,-1,0,0,0,0,-1,-1,1,0
48,-20,8,-4,0,6,-2,2,2,0,-2,3,0,0,0,0,0,0,-2,0,-2,1,0,2,0,-1,-1,1,0,0
42,-14,6,-2,2,0,-2,0,-2,3,1,-3,4,0,0,-2,0,2,-3,1,1,0,-1,1,-1,1,0,0,0,0
28,-14,4,2,-4,10,-2,-2,2,1,1,1,-6,0,2,0,0,0,3,1,-1,0,-1,-1,-1,-1,0,0,0,1
105,-35,5,1,1,15,1,-1,1,-3,1,-3,-5,-1,-1,1,-1,1,0,0,0,0,0,1,1,1,0,0,-1,0
162,-36,6,0,-6,0,0,0,0,0,0,0,6,0,2,0,0,-2,-3,-1,1,0,1,0,0,0,1,-1,0,0
84,-14,4,2,4,-6,-2,-2,2,3,1,3,6,0,-2,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
120,-20,0,-4,8,0,4,0,-4,-3,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,0
168,-14,4,-2,0,-15,1,1,1,0,-2,-3,4,-2,0,1,1,0,3,1,-1,0,-1,-2,0,1,0,0,0,0
42,0,2,0,-6,-6,0,2,0,0,0,6,0,-2,0,0,-2,2,2,0,2,-1,0,0,0,0,0,0,0,0
56,-14,-4,6,0,11,1,-1,-3,2,-2,2,-4,-2,0,-1,1,0,1,1,1,1,1,0,0,0,0,0,0,-1
189,-21,-11,3,-3,9,3,1,3,0,0,0,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0
216,-6,-4,6,0,-9,-3,-1,-3,0,0,0,4,2,0,1,-1,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
216,6,-4,-6,0,-9,3,-1,3,0,0,0,-4,2,0,-1,-1,0,1,1,1,1,1,0,0,0,-1,-1,0,0
168,14,4,2,0,-15,-1,1,-1,0,2,-3,-4,-2,0,-1,1,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
84,14,4,-2,4,-6,2,-2,-2,3,-1,3,-6,0,2,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
70,0,-10,0,6,10,0,2,0,4,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1
189,21,-11,-3,-3,9,-3,1,-3,0,0,0,1,1,1,1,1,1,-1,1,-1,-1,1,0,0,0,0,0,-1,0
120,20,0,4,8,0,-4,0,4,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,0,0,0,1,1,0,0
42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,-1
105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,-1,1,-1,0,0,1,0
48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1
27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,0,0,0,-1,1,-1,0
8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
